id,slug,title,brand,store,category,subcategory,image,imageAlt,price,originalPrice,currency,discount,description,creatorNote,badge,ctaText,affiliateUrl,status,featured,trending,new,displayOrder,tags,reelUrl,publishedAt,updatedAt
prod-01,sculptural-linen-blend-blazer-sand,Sculptural Tailored Linen Blazer in Sand,Massimo Dutti,Massimo Dutti,fashion,Outerwear,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,Sculptural Tailored Linen Blazer in Sand,9990,12990,INR,23% OFF,Structured double-breasted blazer crafted from breathable European linen blend.,Wore this to my Mumbai brunch meet! The shoulder definition is immaculate and does not crease.,Seen on Sunidhi,Shop at Massimo Dutti,https://www.massimodutti.com/in?aff_id=sunidhi,published,TRUE,TRUE,FALSE,1,"Linen, Summer Tailoring, Workwear",https://instagram.com/reel/sunidhi_style_01,2025-05-10T10:00:00Z,2025-05-12T14:30:00Z
prod-02,satin-bias-cut-slip-midi-dress,Satin Bias-Cut Midi Dress in Olive Gold,Zara,Zara,fashion,Dresses,https://images.unsplash.com/photo-1595777457583-95e059d581b8?q=80&w=1000&auto=format&fit=crop,Satin Bias-Cut Midi Dress in Olive Gold,3590,4990,INR,28% OFF,Flowing midi dress cut on the bias with delicate spaghetti straps.,The exact dress from my cocktail look Reel! Fabric feels ultra luxurious on the skin.,Trending,Shop at Zara,https://www.zara.com/in?aff_id=sunidhi,published,TRUE,TRUE,TRUE,2,"Evening, Satin, Date Night",https://instagram.com/reel/sunidhi_cocktail_02,2025-05-12T11:00:00Z,2025-05-12T11:00:00Z
prod-03,rhode-peptide-glazing-fluid-glow,Peptide Glazing Fluid Dewy Glow Serum,Rhode Skin,Nykaa Luxe,beauty,Skincare,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?q=80&w=1000&auto=format&fit=crop,Dewy peptide glazing serum bottle,2800,,INR,,Lightweight fast-absorbing gel serum that plumps and hydrates the skin barrier.,My secret skin prep before every camera shoot. A tiny pump gives that juicy glazed donut finish.,Sunidhi Favorite,View on Nykaa Luxe,https://www.nykaa.com?aff_id=sunidhi,published,TRUE,TRUE,FALSE,3,"Dewy Glow, Peptides, Clean Beauty",,2025-05-08T09:00:00Z,2025-05-10T12:00:00Z
prod-04,woven-leather-crossbody-tote-cognac,Intreccio Woven Leather Crossbody in Cognac,Mango,Mango,accessories,Bags,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?q=80&w=1000&auto=format&fit=crop,Cognac brown woven leather handbag,6990,8990,INR,22% OFF,Artisanal basket-weave leather tote featuring detachable crossbody strap.,Literally looks like an Italian designer piece that costs 5x more. Fits my iPad and Kindle.,Seen on Sunidhi,Shop at Mango,https://shop.mango.com/in?aff_id=sunidhi,published,TRUE,FALSE,TRUE,4,"Handcrafted, Leather Bag, Capsule Wardrobe",,2025-05-11T16:00:00Z,2025-05-11T16:00:00Z
prod-05,wide-leg-pleated-tailored-trousers,High-Waist Wide-Leg Pleated Trousers in Ecru,H&M Premium,H&M,fashion,Bottoms,https://images.unsplash.com/photo-1509631179647-0177331693ae?q=80&w=1000&auto=format&fit=crop,Model wearing tailored high-waist ecru trousers,2999,3999,INR,25% OFF,High-waisted tailored trousers in heavy-drape woven twill with front pleats.,The most flattering pants I own. The length is tall-girl friendly and looks sublime.,Best Seller,Shop at H&M,https://www2.hm.com/en_in?aff_id=sunidhi,published,FALSE,TRUE,FALSE,5,"Tailored, High Waist, Quiet Luxury",,2025-05-05T10:00:00Z,2025-05-05T10:00:00Z
prod-06,dior-lip-glow-oil-cherry,Addict Lip Glow Oil in 015 Cherry,Dior,Sephora India,beauty,Makeup,https://images.unsplash.com/photo-1586495777744-4413f21062fa?q=80&w=1000&auto=format&fit=crop,Luxury lip glow oil bottle with applicator,3900,,INR,,Nourishing glossy lip oil infused with cherry oil.,Lives in my handbag 24/7. Not sticky whatsoever and adapts to natural lip pH.,Curator Pick,Shop at Sephora,https://sephora.nnnow.com?aff_id=sunidhi,published,TRUE,TRUE,FALSE,6,"Lip Oil, High Shine, Luxury Makeup",,2025-05-07T12:00:00Z,2025-05-07T12:00:00Z
prod-07,chunky-gold-teardrop-earrings,18K Gold Plated Chunky Teardrop Earrings,Mejuri,Mejuri,accessories,Jewelry,https://images.unsplash.com/photo-1630019852942-f89202989a59?q=80&w=1000&auto=format&fit=crop,Pair of sculptural gold teardrop stud earrings,4450,5500,INR,19% OFF,Hollow ultralight teardrop earrings plated in thick 18K gold vermeil.,They look substantial but are completely hollow so they never hurt your ears.,Seen on Sunidhi,Shop at Mejuri,https://mejuri.com?aff_id=sunidhi,published,TRUE,TRUE,TRUE,7,"Gold Plated, Everyday Jewelry",,2025-05-09T14:00:00Z,2025-05-09T14:00:00Z
prod-08,minimalist-ceramic-aroma-diffuser,Matte Ceramic Ultrasonic Aromatherapy Diffuser,Vitruvi,Tata Cliq Luxury,lifestyle,Home Decor,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?q=80&w=1000&auto=format&fit=crop,Sculptural stone ceramic diffuser on wooden shelf,8490,,INR,,Handcrafted ceramic stone diffuser with dual run times.,Always running in the background of my living room stories. Looks like sculpture.,Curator Pick,Shop at Tata Cliq,https://luxury.tatacliq.com?aff_id=sunidhi,published,FALSE,FALSE,TRUE,8,"Home Fragrance, Ceramic, Aesthetic Home",,2025-05-04T08:00:00Z,2025-05-04T08:00:00Z
prod-09,strappy-leather-kitten-heel-sandals,Strappy 45mm Nappa Leather Kitten Heels,Charles & Keith,Charles & Keith,footwear,Heels,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?q=80&w=1000&auto=format&fit=crop,Minimalist strappy leather heel sandals,4999,5999,INR,17% OFF,Delicate strappy sandals featuring buttery-soft nappa faux leather and 4.5cm kitten heel.,The only heels I can walk 10,000 steps in without crying.,Trending,Shop at Charles & Keith,https://www.charleskeith.com/in?aff_id=sunidhi,published,TRUE,TRUE,TRUE,9,"Kitten Heel, Comfortable Shoes",,2025-05-08T15:00:00Z,2025-05-08T15:00:00Z
prod-10,test-draft-product-hidden,Secret Unreleased Autumn Trench Coat,Zara,Zara,fashion,Outerwear,https://images.unsplash.com/photo-1544441893-675973e31985?q=80&w=1000&auto=format&fit=crop,Trench coat preview,12990,,INR,,Unreleased draft piece for testing hidden workflow.,Testing draft status - should never appear on public website.,Draft Only,Shop at Zara,https://www.zara.com/in?aff_id=sunidhi,draft,FALSE,FALSE,FALSE,99,"Draft, Staged",,2025-05-15T10:00:00Z,2025-05-15T10:00:00Z
